epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.838,1.58706,2.72735,1.67971,0.40135,0.43412,0.38799,0.22056,1.64373,2.2248,1.74453,0.000368241,0.000368241,0.000368241
2,113.54,1.57506,2.12771,1.64668,0.5595,0.44679,0.48817,0.259,1.70844,2.26135,1.83368,0.000723951,0.000723951,0.000723951
3,167.01,1.57932,2.03895,1.65129,0.46937,0.54114,0.48221,0.26231,1.68489,2.11755,1.80355,0.00106499,0.00106499,0.00106499
4,219.394,1.58697,1.96719,1.64215,0.52295,0.56334,0.52821,0.30936,1.58393,1.91,1.69546,0.00104501,0.00104501,0.00104501
5,271.048,1.53915,1.85357,1.62169,0.46135,0.565,0.49895,0.29173,1.62925,1.91965,1.73173,0.00102301,0.00102301,0.00102301
6,323.237,1.54967,1.79696,1.61204,0.52322,0.47156,0.48307,0.26857,1.55716,1.95897,1.70222,0.00100101,0.00100101,0.00100101
7,376.407,1.4777,1.71634,1.56198,0.53422,0.63838,0.58597,0.34823,1.48435,1.61424,1.6314,0.000979013,0.000979013,0.000979013
8,430.584,1.44672,1.62725,1.54607,0.56232,0.59813,0.58198,0.36864,1.42282,1.65004,1.59373,0.000957015,0.000957015,0.000957015
9,483.194,1.42837,1.58194,1.54446,0.55336,0.58974,0.60511,0.36723,1.50835,1.61473,1.64141,0.000935018,0.000935018,0.000935018
10,535.763,1.41709,1.57868,1.5132,0.5933,0.63035,0.64373,0.39645,1.44255,1.50268,1.56435,0.00091302,0.00091302,0.00091302
11,588.436,1.41258,1.5488,1.52733,0.60447,0.62524,0.6348,0.41137,1.37268,1.45838,1.55742,0.000891022,0.000891022,0.000891022
12,641.459,1.39033,1.49357,1.50566,0.56978,0.62248,0.61499,0.37467,1.45757,1.53817,1.57239,0.000869024,0.000869024,0.000869024
13,694.068,1.37076,1.4524,1.49851,0.61694,0.59408,0.62534,0.38045,1.48537,1.53959,1.60977,0.000847026,0.000847026,0.000847026
14,746.918,1.33837,1.42545,1.48216,0.58095,0.60556,0.60184,0.39678,1.40334,1.6757,1.57956,0.000825029,0.000825029,0.000825029
15,799.697,1.342,1.40759,1.4762,0.58627,0.59226,0.60306,0.39282,1.36381,1.52168,1.53888,0.000803031,0.000803031,0.000803031
16,853.227,1.29103,1.34366,1.45394,0.58786,0.64726,0.64352,0.42551,1.3289,1.42173,1.52169,0.000781033,0.000781033,0.000781033
17,906.116,1.32376,1.35511,1.45601,0.59071,0.63904,0.61202,0.41415,1.31237,1.46925,1.49892,0.000759035,0.000759035,0.000759035
18,958.779,1.31009,1.30822,1.4402,0.58194,0.62453,0.57385,0.36907,1.33288,1.53269,1.50628,0.000737037,0.000737037,0.000737037
19,1011.21,1.29924,1.30864,1.43871,0.57858,0.66629,0.62787,0.41287,1.33213,1.4712,1.51144,0.00071504,0.00071504,0.00071504
20,1063.65,1.26889,1.27802,1.42357,0.60768,0.64505,0.64375,0.42706,1.32934,1.39886,1.51265,0.000693042,0.000693042,0.000693042
21,1116.07,1.26244,1.2662,1.42218,0.67365,0.57612,0.64071,0.43224,1.27902,1.39678,1.48219,0.000671044,0.000671044,0.000671044
22,1169.24,1.25376,1.23272,1.4139,0.64326,0.63984,0.65533,0.44687,1.29975,1.46158,1.48664,0.000649046,0.000649046,0.000649046
23,1221.94,1.24299,1.21976,1.4114,0.56065,0.68195,0.62314,0.4175,1.29933,1.42446,1.47978,0.000627048,0.000627048,0.000627048
24,1274,1.23135,1.18291,1.39583,0.60177,0.64152,0.63168,0.42949,1.28808,1.388,1.49557,0.000605051,0.000605051,0.000605051
25,1326.07,1.2307,1.17951,1.39425,0.55886,0.68632,0.63413,0.43316,1.30202,1.42073,1.4715,0.000583053,0.000583053,0.000583053
26,1377.79,1.21162,1.15948,1.37185,0.63944,0.66053,0.67505,0.45622,1.27069,1.31205,1.45487,0.000561055,0.000561055,0.000561055
27,1429.53,1.18952,1.14873,1.3772,0.57559,0.69514,0.6537,0.42714,1.29437,1.35248,1.46306,0.000539057,0.000539057,0.000539057
28,1481.03,1.1972,1.12116,1.36833,0.57487,0.67192,0.62158,0.40471,1.30171,1.42873,1.47575,0.000517059,0.000517059,0.000517059
29,1532.94,1.17473,1.10548,1.36151,0.57641,0.66296,0.64883,0.44561,1.26724,1.35891,1.45874,0.000495062,0.000495062,0.000495062
30,1584.69,1.17463,1.08054,1.36013,0.53554,0.66058,0.60254,0.41248,1.28855,1.49535,1.46541,0.000473064,0.000473064,0.000473064
31,1636.02,1.1897,1.08738,1.362,0.64268,0.65166,0.6677,0.45218,1.29604,1.36342,1.47874,0.000451066,0.000451066,0.000451066
32,1687.67,1.14789,1.05916,1.34761,0.56542,0.62368,0.6025,0.40945,1.25002,1.43517,1.46449,0.000429068,0.000429068,0.000429068
33,1738.44,1.14217,1.04969,1.33493,0.61736,0.6686,0.64741,0.44792,1.28545,1.3402,1.466,0.00040707,0.00040707,0.00040707
34,1789.87,1.14514,1.03939,1.33571,0.5975,0.65332,0.64265,0.43423,1.30319,1.36153,1.51169,0.000385073,0.000385073,0.000385073
35,1840.9,1.13589,1.02025,1.3363,0.59966,0.66741,0.64051,0.44004,1.26257,1.3466,1.4527,0.000363075,0.000363075,0.000363075
36,1892.37,1.1402,1.01519,1.32326,0.61425,0.66276,0.64108,0.44313,1.25972,1.35923,1.45908,0.000341077,0.000341077,0.000341077
37,1944.07,1.1203,0.99143,1.31199,0.60099,0.65997,0.63502,0.43573,1.25845,1.40848,1.46635,0.000319079,0.000319079,0.000319079
38,1995.52,1.08738,0.96071,1.3023,0.63175,0.62451,0.64014,0.44552,1.27824,1.46559,1.47059,0.000297081,0.000297081,0.000297081
39,2046.81,1.11303,0.97061,1.3076,0.62092,0.61033,0.63565,0.4412,1.27653,1.42504,1.47546,0.000275084,0.000275084,0.000275084
40,2098.14,1.08503,0.94672,1.28994,0.65743,0.63593,0.63997,0.44499,1.23768,1.39325,1.45132,0.000253086,0.000253086,0.000253086
41,2149.06,1.07631,0.86688,1.3102,0.63894,0.63092,0.63836,0.43305,1.25973,1.3611,1.45495,0.000231088,0.000231088,0.000231088
42,2198.19,1.05706,0.82769,1.28219,0.65093,0.62774,0.65627,0.45423,1.25349,1.36123,1.45317,0.00020909,0.00020909,0.00020909
43,2247.52,1.01528,0.7911,1.25187,0.62044,0.62889,0.61985,0.43269,1.25105,1.38757,1.458,0.000187092,0.000187092,0.000187092
44,2296.47,1.01254,0.78016,1.25499,0.6426,0.63041,0.64193,0.44527,1.25067,1.35622,1.46183,0.000165095,0.000165095,0.000165095
45,2346.09,1.00499,0.76697,1.25961,0.62305,0.63888,0.6298,0.43709,1.24779,1.38646,1.44577,0.000143097,0.000143097,0.000143097
46,2394.64,0.98985,0.75572,1.25072,0.64137,0.62293,0.63994,0.44561,1.23371,1.37574,1.44397,0.000121099,0.000121099,0.000121099
